id,name_ko,name_en,description,ingredients,category,spicy_level,image_url
45,연잎밥,Lotus Leaf Rice,"Glutinous rice, dates, and chestnuts wrapped in a lotus leaf and steamed in a steamer. In the past, this dish was made and consumed by Buddhist monks, but it is now popular among health-conscious people.",,밥 [Bap],,
46,열무비빔밥,Young Summer Radish Bibimbap,"A type of bibimbap mixed with yeolmu (young summer radish) and gochujang (red chili paste). Yeolmukimchi is a summer delicacy loved for its refreshing, appetite-stimulating taste.",,밥 [Bap],,
47,영양돌솥밥,Nutritious Hot Stone Pot Rice,"Rice, various grains, chestnuts, ginko nuts, and pine nuts are cooked and served in a stone bowl. After the bowl is empty, hot water is poured over the crispy layer of rice at the bottom to make a rice infusion (sungnyung).",,밥 [Bap],,
48,오곡밥,Steamed Five-grain Rice,"This dish is made up of five different varieties of rice and grains, including glutinous rice, sorghum, millet, adzuki beans, and black soybeans. Koreans used to cook Ogokbap (five-grain rice) on the first full moon (15th day) of the year, according to the lunar calendar, to share with neighbors and wish for peace and a good harvest.",,밥 [Bap],,
49,오분자기돌솥밥,Small Abalone Hot Stone Pot Rice ,Rice cooked with small abalone (haliotis supertexta) and broth in a stone pot. Haliotis supertexta looks similar to abalone but is smaller and has a distinctively chewy texture. It is a popular ingredient of seafood soup served in a hot earthen pot.,,밥 [Bap],,
50,오징어덮밥,Spicy Stir-fried Squid with Rice,"Squid marinated in a spicy sauce with onions and carrots, stir-fried, and served over steamed rice.",,밥 [Bap],,
51,우거지사골국밥,Korean Cabbage and Rice Soup,"Ugeoji is the dried outer leaves of Korean cabbage, and is rich in vitamins, calcium, and fiber. To make this dish, dried ugeoji is boiled, drained, and seasoned with doenjang (soybean paste) and put in a bowl of beef bone broth with rice.",,밥 [Bap],,
52,우렁된장비빔밥,Freshwater Snail Soybean PasteBibimbap,"The essential ingredient of this dish is ureongdoenjang, which is soybean paste boiled with chopped onion, green pepper, mushrooms, and freshwater snails in rice water. This is then served with a bowl of rice topped with a variety of vegetables.",,밥 [Bap],,
53,우렁쌈밥,Freshwater Snail Leaf Wraps and Rice,This dish is made by wrapping cooked rice in leafy vegetables with gangdoenjang (seasoned soybean paste) made with freshwater snails. The chewy texture and flavor of freshwater snails go particularly well with doenjang (soybean paste).,,밥 [Bap],,
54,육회돌솥비빔밥,Beef Tartare Hot Stone Pot Bibimbap,"This is a type of bibimbap served in a sizzling-hot stone pot. The rice, mixed with a variety of colorful vegetables and beef tartare, remains piping hot until the end of the meal.",,밥 [Bap],,
55,육회비빔밥,Beef Tartare Bibimbap,This is a bowl of rice topped with seasonal namul (seasonedvegetables) and fresh yukhoe (chopped raw beef) and served with seasoning. Lean freshrump or eye of round is the preferred cut for this dish.,,밥 [Bap],,
56,잡곡밥,Steamed Multi-grain Rice,"Bap made with various grains such as rice, beans, red beans, and millet. One version of Japgokbap is Ogokbap (five-grain rice), a combination of sweet rice, glutinous millet, glutinous sorghum, black beans, and sweet red beans.",,밥 [Bap],,
57,잡채덮밥,Stir-fried Glass Noodles and Vegetables with Rice,"Symbolizing harmony, japchae, a variety of cooked vegetables stir-fried with cooked glass noodles, is one of the most common festive dishes served at parties or on special occasions. This dish consists of rice topped with japchae, and is served on a plate with seasoning.",,밥 [Bap],,
58,장국밥,Beef and Rice Soup,"Jangguk is a beef soup made by thoroughly boiling beef with radish and bracken at low heat for a long time. Janggukbap is made by adding cooked rice to jangguk. Hot jangguk poured over cold cooked rice in a ttukbaegi makes a filling meal, with or without side dishes.",,밥 [Bap],,
59,장어덮밥,Stir-fried Eel with Rice,This is a bowl of rice topped with grilled eel and garnished with julienned ginger and radish sprouts. The eel is first half-grilled and half-steamed before being brushed with a sauce made from soy sauce.,,밥 [Bap],,
60,전복돌솥밥,Abalone Hot Stone Pot Rice,Rice cooked with abalone intestines and broth in a stone pot and topped with sliced abalone. The distinctive flavor of abalone intestines goes particularly well with rice.,,밥 [Bap],,
61,전주비빔밥,Jeonju Bibimbap,"This is a type of bibimbap topped with a variety of colorful vegetables and beef tartare that is widely popular across the Jeonju area of North Jeolla Province. The dish has also been referred to as “jeonju bean sprout beef tartare bibimbap,” as the bean sprout and beef tartare are the ingredients that make jeonjubibimbap so unique.",,밥 [Bap],,
62,제육덮밥,Spicy Stir-fried Pork with Rice,This dish consists of thinly sliced pork stir-fried with vegetables and gochujang (red chili paste) and served on rice. It is popular among busy office workers as the dish is large enough that is doesn’t require side dishes.,,밥 [Bap],,
63,제육비빔밥,Spicy Pork Bibimbap,"This dish is made up of thinly sliced pork that is stir-fried with gochujang and then served on rice with a variety of vegetables. It is a popular, reasonably priced meal that can be served without side dishes.",,밥 [Bap],,
